train_epoch,200
batch_size,32
lr,0.001
lrcos,True
lr_warmup,False
mixup,False
mixup_alpha,0.2
weight_decay,0.0001
momentum,0.99
class_num,5
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
metric,None
name,densenet121_linear
train_dir,/home/bbb/shicaiwei/data/cassava/train_data
test_dir,/home/bbb/shicaiwei/data/cassava/val_data
log_name,densenet121_linear.csv
model_name,densenet121_linear
0.7144265393787456,0.807809,0.807809
0.5244614968511546,0.833996,0.833996
0.47573964359047255,0.826748,0.833996
0.42992692366938723,0.848258,0.848258
0.38104910807353315,0.815291,0.848258
0.3509385096414067,0.841478,0.848258
0.3354227527976036,0.836334,0.848258
0.2958164899984253,0.834931,0.848258
0.2850693992295555,0.836334,0.848258
0.2565724602299873,0.830021,0.848258
0.23056746659991897,0.840309,0.848258
0.22259807093678233,0.827917,0.848258
0.21453455453303372,0.830956,0.848258
0.20605468039757738,0.835399,0.848258
0.18598277300039184,0.832359,0.848258
0.1783357013539176,0.84101,0.848258
0.15190762305788905,0.831892,0.848258
0.15776722286349146,0.831424,0.848258
0.13368611168638567,0.833061,0.848258
0.13266610829768893,0.836334,0.848258
0.11424261848920973,0.828618,0.848258
0.1138134322294565,0.833996,0.848258
0.09214238570393803,0.823241,0.848258
0.11185670373177974,0.830255,0.848258
0.10301223896513476,0.8361,0.848258
0.08281442544588419,0.833528,0.848258
0.08591392703145465,0.83423,0.848258
0.07494738759977795,0.82628,0.848258
0.07327962729418389,0.83119,0.848258
0.07415810879842143,0.8361,0.848258
0.07379172431113563,0.829787,0.848258
0.06758737935919627,0.828852,0.848258
0.056953727210236484,0.835399,0.848258
0.053419326788911196,0.8361,0.848258
0.04061329543729809,0.825579,0.848258
0.04489629762334244,0.836334,0.848258
0.054386950437432136,0.82628,0.848258
0.04240682987827007,0.841244,0.848258
0.04499477064498117,0.823474,0.848258
0.051159439799941586,0.8361,0.848258
0.03580433406701712,0.84101,0.848258
0.03352605724167601,0.837503,0.848258
0.03321572542886868,0.829086,0.848258
0.027093008634085966,0.838438,0.848258
0.022430125338451883,0.848258,0.848258
0.02842386905974317,0.834697,0.848258
0.03667195760340334,0.836334,0.848258
0.02463110803722221,0.836801,0.848258
0.023545308835874093,0.8361,0.848258
0.023666423294588783,0.833528,0.848258
0.023849612133246715,0.835632,0.848258
0.0203491038251146,0.835632,0.848258
0.01905170782843483,0.833762,0.848258
0.0173781472736987,0.842881,0.848258
0.019045658785606098,0.828618,0.848258
0.02612046754666578,0.841244,0.848258
0.015583639341258558,0.836334,0.848258
0.012888866474973821,0.833528,0.848258
0.01683223273291766,0.837737,0.848258
0.0182455207560664,0.831892,0.848258
0.014190859257060791,0.839373,0.848258
0.011397156446615112,0.8361,0.848258
0.010123356633654264,0.839841,0.848258
0.014789308990552046,0.838204,0.848258
0.012686583274435774,0.837737,0.848258
0.010715142073475311,0.838438,0.848258
0.010571603337738001,0.843348,0.848258
0.006706300294287851,0.83914,0.848258
0.005500644041556064,0.848024,0.848258
0.0035984967495793496,0.849661,0.849661
0.004357423125026382,0.84405,0.849661
0.0037367506074571163,0.842179,0.849661
0.00427504694350412,0.842413,0.849661
0.00342501910211884,0.846388,0.849661
0.0034571308816704793,0.846388,0.849661
0.003248019210089033,0.848024,0.849661
0.0024188265482956006,0.85083,0.85083
0.004200005795911094,0.841711,0.85083
0.004429410300522207,0.844751,0.85083
0.004236274512014656,0.84896,0.85083
0.0032670446923960036,0.84592,0.85083
0.0026245194826727716,0.841478,0.85083
0.0037447886907051656,0.845452,0.85083
0.002171052435291148,0.845452,0.85083
0.0017915311817810913,0.84896,0.85083
0.0009778003269266858,0.849895,0.85083
0.0011483052066553418,0.848024,0.85083
0.0008717837177704428,0.848726,0.85083
0.0003577513951007451,0.84592,0.85083
0.00039444529564581186,0.852467,0.852467
0.0006163111356931312,0.840776,0.852467
0.00041272073427093365,0.850362,0.852467
0.00024700189862295844,0.850362,0.852467
0.00034347981493049694,0.852467,0.852467
0.00033335824993169195,0.846855,0.852467
0.00028641555353859873,0.851298,0.852467
0.0002697684497476738,0.850129,0.852467
0.0001918494701385498,0.850596,0.852467
0.00014432406871118278,0.851298,0.852467
0.0001771400186503045,0.855039,0.855039
0.00011232283627875497,0.854103,0.855039
0.00017951902385069946,0.854337,0.855039
0.00015662521402412486,0.85387,0.855039
8.101310128363494e-05,0.852934,0.855039
0.0001273762399905196,0.854103,0.855039
0.0002092821854297246,0.85387,0.855039
0.00035970174820623664,0.847557,0.855039
0.00020207190346495013,0.85083,0.855039
0.00013266974520460468,0.853168,0.855039
9.711916758635334e-05,0.852467,0.855039
9.12119016469082e-05,0.852934,0.855039
0.00010975685632117441,0.854103,0.855039
0.00011993646621704102,0.853168,0.855039
0.0001116406416224542,0.854103,0.855039
8.853871688664517e-05,0.855039,0.855039
8.84690295870059e-05,0.856675,0.856675
7.928300683743485e-05,0.854337,0.856675
8.211935234961108e-05,0.856675,0.856675
7.399025364456889e-05,0.856441,0.856675
9.623941417052367e-05,0.855974,0.856675
7.592952140023775e-05,0.857143,0.857143
7.804896786948231e-05,0.856208,0.857143
7.425229126047865e-05,0.856208,0.857143
6.80724872606937e-05,0.85761,0.85761
6.872610511066757e-05,0.857143,0.85761
7.55229842997043e-05,0.857377,0.85761
7.130091435441347e-05,0.857143,0.85761
7.457120396266474e-05,0.853402,0.85761
5.8504939079284665e-05,0.856675,0.85761
7.254992411515423e-05,0.855039,0.85761
7.618025084522283e-05,0.854805,0.85761
