train_epoch,200
batch_size,64
lr,0.001
lrcos,True
lr_warmup,False
mixup,False
mixup_alpha,0.2
weight_decay,0.0001
momentum,0.99
class_num,5
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
name,resnet18
train_dir,/home/bbb//shicaiwei/data/cassava/train_data
test_dir,/home/bbb//shicaiwei/data/cassava/val_data
log_name,resnet18.csv
model_name,resnet18
1.1908166811092575,0.757307,0.757307
0.5836014609728286,0.81459,0.81459
0.48011972410465353,0.820903,0.820903
0.42531254743017366,0.834697,0.834697
0.36892501793023363,0.814356,0.834697
0.32000045945395283,0.81155,0.834697
0.2905845262888652,0.820201,0.834697
0.24342364495369925,0.827215,0.834697
0.2064656732576107,0.813888,0.834697
0.17110807787793786,0.811784,0.834697
0.1696301504635989,0.818097,0.834697
0.14079600872833337,0.812018,0.834697
0.1413138872429506,0.809212,0.834697
0.11798880071337543,0.827917,0.834697
0.10629932098646662,0.827215,0.834697
0.08084231615066528,0.816226,0.834697
0.08497361010357515,0.803367,0.834697
train_epoch,200
batch_size,64
lr,0.001
lrcos,True
lr_warmup,False
mixup,False
mixup_alpha,0.2
weight_decay,0.0001
momentum,0.99
class_num,5
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
name,resnet18
train_dir,/home/bbb//shicaiwei/data/cassava/train_data
test_dir,/home/bbb//shicaiwei/data/cassava/val_data
log_name,resnet18.csv
model_name,resnet18
1.1903587332857188,0.766659,0.766659
0.5789411332625062,0.817162,0.817162
0.47979803305508484,0.82628,0.82628
0.41998436218544616,0.836334,0.836334
0.36684105078231044,0.827683,0.836334
0.3163872990034409,0.824877,0.836334
0.28734412216650906,0.819266,0.836334
0.2432810843769294,0.813421,0.836334
0.21676799299112007,0.815759,0.836334
0.18464163296035865,0.817863,0.836334
0.17460989090266513,0.824643,0.836334
0.1410981913222306,0.804536,0.836334
0.12118013331027173,0.821838,0.836334
0.12328015406852338,0.818798,0.836334
0.10561099009060149,0.813888,0.836334
0.08718232426847984,0.814823,0.836334
0.08268849696241208,0.819032,0.836334
0.08917828615921647,0.81646,0.836334
0.06984392214399665,0.822305,0.836334
0.05984057530538359,0.804536,0.836334
0.05602783175991542,0.821136,0.836334
0.056516708889559134,0.816226,0.836334
0.06061056995792175,0.807575,0.836334
0.048168906858607904,0.819733,0.836334
0.036818177508774086,0.822305,0.836334
0.03638549132356003,0.822539,0.836334
0.029861860088448027,0.812252,0.836334
0.033058233670334315,0.806173,0.836334
0.030279420260617983,0.827683,0.836334
0.0393426697423209,0.819733,0.836334
0.03387831713059055,0.814122,0.836334
0.03355655985981671,0.818097,0.836334
0.02866269859360225,0.808043,0.836334
0.023827125888262222,0.825111,0.836334
0.021895409742398047,0.820201,0.836334
0.02257086570138362,0.812252,0.836334
0.0213641311917732,0.813187,0.836334
0.021446171869982534,0.823241,0.836334
0.023508407397946313,0.81646,0.836334
0.019756771179277505,0.820201,0.836334
0.016302996050955643,0.822305,0.836334
0.011251067047688499,0.826982,0.836334
0.012609033664660667,0.818097,0.836334
0.011650574518673455,0.817162,0.836334
0.01321845201414023,0.816694,0.836334
0.013413236768388036,0.821136,0.836334
0.020883645584334188,0.812953,0.836334
0.022047491327150545,0.825345,0.836334
0.01740624644418261,0.82441,0.836334
0.010260463094533379,0.828852,0.836334
0.01296578814734274,0.82628,0.836334
0.009326103796709829,0.820201,0.836334
0.007988913179333531,0.830021,0.836334
0.008319802471061252,0.819967,0.836334
0.007733595905019276,0.825812,0.836334
0.0070659889658885216,0.823241,0.836334
0.005119819360882488,0.82932,0.836334
0.0032532145060710053,0.82932,0.836334
0.002417793914453307,0.824877,0.836334
0.002190254295050208,0.830956,0.836334
0.001281489965631001,0.830255,0.836334
0.0007972849616363867,0.829553,0.836334
0.0005911213915739486,0.831892,0.836334
0.0005009449017581656,0.83423,0.836334
0.0002327490208753899,0.833996,0.836334
0.0003083021338306256,0.835399,0.836334
0.00023349563577281895,0.83423,0.836334
0.00018377590980102766,0.833528,0.836334
0.00016934491360365454,0.833294,0.836334
0.00011661759953000652,0.835866,0.836334
9.778564545645643e-05,0.836568,0.836568
0.0001374373017851986,0.834931,0.836568
0.00010010700172452784,0.836801,0.836801
9.077865241178825e-05,0.835866,0.836801
9.79875895514417e-05,0.8361,0.836801
0.00011781558616837459,0.837503,0.837503
6.282551964717125e-05,0.837035,0.837503
8.867803349423764e-05,0.835866,0.837503
9.0545905170156e-05,0.836801,0.837503
6.0913500501148736e-05,0.838204,0.838204
8.337700100087408e-05,0.837737,0.838204
6.159128093007785e-05,0.837971,0.838204
9.564655040627095e-05,0.837035,0.838204
7.494594623793417e-05,0.837737,0.838204
6.378186282826893e-05,0.836801,0.838204
8.050908348453578e-05,0.839373,0.839373
4.2818597893216716e-05,0.838204,0.839373
6.0420205344015095e-05,0.839373,0.839373
5.953380865837211e-05,0.8361,0.839373
7.841435830984543e-05,0.836568,0.839373
7.126213454488498e-05,0.834931,0.839373
6.798365667684755e-05,0.836801,0.839373
9.12544887457321e-05,0.835165,0.839373
4.904561523181289e-05,0.838672,0.839373
5.549359232632082e-05,0.837503,0.839373
6.000497447910593e-05,0.837503,0.839373
4.8221936866418636e-05,0.839607,0.839607
5.705565658967886e-05,0.837737,0.839607
4.719064306856981e-05,0.839841,0.839841
3.933906555175781e-05,0.839841,0.839841
4.772841930389404e-05,0.838204,0.839841
4.694510751695775e-05,0.839373,0.839841
6.793984281482981e-05,0.84101,0.84101
5.969216129673061e-05,0.83914,0.84101
5.8125982533639935e-05,0.838204,0.84101
6.819538660903475e-05,0.83914,0.84101
4.828443278127642e-05,0.840542,0.84101
4.5436642952819366e-05,0.838906,0.84101
5.2087453763876386e-05,0.840075,0.84101
4.451655185044701e-05,0.838438,0.84101
4.96662374752671e-05,0.838906,0.84101
4.469692262250986e-05,0.836568,0.84101
5.3884822930862656e-05,0.838906,0.84101
4.6069831100862415e-05,0.839607,0.84101
4.353062875235258e-05,0.839373,0.84101
4.4694809771295804e-05,0.838438,0.84101
5.123931080547731e-05,0.840075,0.84101
6.320805691961032e-05,0.840075,0.84101
6.324631064685423e-05,0.837971,0.84101
6.592307072966846e-05,0.840776,0.84101
5.773944196416371e-05,0.840542,0.84101
4.739992654145653e-05,0.838204,0.84101
0.00021817891010597571,0.838906,0.84101
7.273267898986589e-05,0.838204,0.84101
8.476536665389787e-05,0.837971,0.84101
4.8121520832403385e-05,0.838906,0.84101
6.013452561933603e-05,0.839841,0.84101
6.37403842228562e-05,0.836568,0.84101
5.973608636144382e-05,0.837971,0.84101
4.623463349555855e-05,0.837269,0.84101
6.3457706970955e-05,0.837035,0.84101
8.710351452898624e-05,0.838438,0.84101
5.912658438753726e-05,0.838204,0.84101
6.972787095539605e-05,0.840542,0.84101
5.977734256146559e-05,0.838906,0.84101
4.897344468244866e-05,0.837971,0.84101
4.687015690020661e-05,0.84101,0.84101
4.877594869528244e-05,0.840776,0.84101
5.156758116252387e-05,0.83914,0.84101
4.193264601835564e-05,0.839841,0.84101
6.585868436898758e-05,0.839607,0.84101
5.914637846733207e-05,0.838438,0.84101
4.8226496176933174e-05,0.840075,0.84101
4.474674143008332e-05,0.840075,0.84101
4.988308273144622e-05,0.837971,0.84101
6.729242072176578e-05,0.839373,0.84101
5.1305810017372246e-05,0.840309,0.84101
4.002385175050194e-05,0.837971,0.84101
5.026017107180695e-05,0.838438,0.84101
4.816466747824825e-05,0.838906,0.84101
5.339842234084855e-05,0.837971,0.84101
5.623998481835892e-05,0.837503,0.84101
4.111108050417544e-05,0.837971,0.84101
5.310918412991424e-05,0.837503,0.84101
5.07463492564301e-05,0.839373,0.84101
7.056667288737511e-05,0.838906,0.84101
4.6775412203660655e-05,0.838438,0.84101
5.082863925108269e-05,0.837035,0.84101
4.4053059015701065e-05,0.839841,0.84101
4.5273619801250855e-05,0.839607,0.84101
4.4576490103308836e-05,0.837035,0.84101
6.27156513840405e-05,0.837737,0.84101
4.596885905336978e-05,0.840542,0.84101
3.5651806575148855e-05,0.839841,0.84101
4.5529719608933176e-05,0.840542,0.84101
4.6126433272859944e-05,0.839373,0.84101
5.529298266368126e-05,0.839373,0.84101
4.923076771978122e-05,0.837737,0.84101
4.9673910461254976e-05,0.838438,0.84101
5.413180411751591e-05,0.83914,0.84101
5.275667158525381e-05,0.84101,0.84101
4.1235849928500044e-05,0.83914,0.84101
4.8823654651641846e-05,0.838672,0.84101
5.637465128258093e-05,0.83914,0.84101
7.409646884718937e-05,0.840309,0.84101
5.5770042227275336e-05,0.837737,0.84101
4.2856851620460625e-05,0.837737,0.84101
4.331912122555633e-05,0.837269,0.84101
5.437489320982748e-05,0.837503,0.84101
4.9659120502756604e-05,0.838438,0.84101
4.855343210163401e-05,0.837971,0.84101
4.863483247472279e-05,0.837035,0.84101
5.0723997514639325e-05,0.837503,0.84101
4.2978618572007365e-05,0.838438,0.84101
4.036368718787805e-05,0.838672,0.84101
5.1171477161236665e-05,0.840309,0.84101
5.184658872547434e-05,0.838672,0.84101
4.638231067515131e-05,0.837035,0.84101
3.7272363456327526e-05,0.83914,0.84101
4.8149210303577025e-05,0.838204,0.84101
4.6841132996687245e-05,0.837503,0.84101
3.985493485607318e-05,0.837971,0.84101
4.559277153726834e-05,0.837737,0.84101
4.5387824969505195e-05,0.839607,0.84101
5.028663731333035e-05,0.838438,0.84101
3.680586814880371e-05,0.839841,0.84101
5.100834280697267e-05,0.84101,0.84101
4.92351046249048e-05,0.838204,0.84101
5.089680650340977e-05,0.837971,0.84101
5.2907240034928966e-05,0.839607,0.84101
train_epoch,200
batch_size,64
lr,0.001
lrcos,True
lr_warmup,False
mixup,False
mixup_alpha,0.2
weight_decay,0.0001
momentum,0.99
class_num,5
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
name,resnet18
train_dir,/home/bbb//shicaiwei/data/cassava/train_data
test_dir,/home/bbb//shicaiwei/data/cassava/val_data
log_name,resnet18.csv
model_name,resnet18
1.1911612406595429,0.768296,0.768296
0.5769406011077896,0.82441,0.82441
0.4751667698372656,0.824877,0.824877
0.42044580093960265,0.835632,0.835632
0.36448488695852793,0.822539,0.835632
0.31369390755669396,0.824176,0.835632
0.2856422181227314,0.823007,0.835632
0.24554590180293837,0.811316,0.835632
0.21246135223712495,0.808978,0.835632
0.17940783834279472,0.813654,0.835632
0.18530200510772307,0.818097,0.835632
0.14676615112085842,0.804068,0.835632
0.11588389921321798,0.810381,0.835632
0.11643291214731202,0.817629,0.835632
0.10590120838649238,0.809212,0.835632
0.08259205820400324,0.807809,0.835632
0.08464705032199177,0.821136,0.835632
0.0710229911466143,0.818331,0.835632
0.07532045228490189,0.821604,0.835632
0.05686268555139428,0.805237,0.835632
0.05346813886912901,0.80664,0.835632
0.05396769473801798,0.812719,0.835632
0.05556039434315553,0.823942,0.835632
0.054502408562311484,0.812953,0.835632
0.043800042080345436,0.814823,0.835632
0.04101979376664802,0.819032,0.835632
0.04758928160169231,0.81155,0.835632
0.037424335562026324,0.816226,0.835632
0.03776861738357971,0.821838,0.835632
0.031636710042384136,0.802432,0.835632
0.03216466635688028,0.817162,0.835632
0.028454653362729655,0.807575,0.835632
0.025296906148319812,0.819967,0.835632
0.02812152567194469,0.81646,0.835632
0.028323743103155448,0.822072,0.835632
0.02260794084685952,0.818564,0.835632
0.02143076662697009,0.823007,0.835632
0.0213883260070388,0.830021,0.835632
0.018035111698641706,0.818564,0.835632
0.013480962323608682,0.817162,0.835632
0.014850835746793604,0.818564,0.835632
0.014975368754187627,0.811316,0.835632
0.019533595820861078,0.811784,0.835632
0.017884887198903666,0.815291,0.835632
0.01651075493488739,0.817162,0.835632
0.016957152912865824,0.81459,0.835632
0.017415928084458878,0.820435,0.835632
0.015725820033407924,0.824176,0.835632
0.011988529518469055,0.813187,0.835632
0.010324859574659546,0.8195,0.835632
0.014669096847968315,0.824176,0.835632
0.014388859049597783,0.81646,0.835632
0.010133972308084147,0.817863,0.835632
0.006807054490295809,0.822773,0.835632
0.0039535069198750735,0.831658,0.835632
0.004682538891906169,0.825812,0.835632
0.00289326872843415,0.832593,0.835632
0.0027139939701379236,0.827683,0.835632
0.0026772751736996777,0.83423,0.835632
0.0013305947406968073,0.837503,0.837503
0.0017133593114454354,0.833762,0.837503
0.0018594343938044648,0.830956,0.837503
0.0014179761507617894,0.830956,0.837503
0.0006860621384720304,0.830255,0.837503
0.0006029300058065955,0.833061,0.837503
0.0004492916945201247,0.837503,0.837503
0.00027667753287215734,0.834463,0.837503
0.0005920905230650262,0.832827,0.837503
0.00039292794110170053,0.833762,0.837503
0.00022468348937248117,0.834697,0.837503
0.0001805117770807067,0.835866,0.837503
0.0001602674375719099,0.834697,0.837503
0.0001271390425625132,0.836801,0.837503
0.00010299671496917952,0.8361,0.837503
8.118753112963776e-05,0.838438,0.838438
0.00016587527830209305,0.837269,0.838438
0.00011463908117208908,0.838672,0.838672
7.669749989438412e-05,0.836801,0.838672
9.387164418377094e-05,0.836568,0.838672
6.4717522308008e-05,0.836568,0.838672
8.746792576206264e-05,0.837503,0.838672
7.980038870626421e-05,0.837971,0.838672
7.992638136023906e-05,0.837971,0.838672
6.398603097716374e-05,0.837971,0.838672
7.227430147911185e-05,0.838906,0.838906
0.0001067340151587529,0.837269,0.838906
5.2442190362446344e-05,0.838672,0.838906
6.352453979093637e-05,0.836568,0.838906
6.048648215051907e-05,0.837035,0.838906
6.217031336542386e-05,0.835632,0.838906
4.551548566391219e-05,0.835866,0.838906
5.713249765225311e-05,0.837035,0.838906
5.6638201670860176e-05,0.8361,0.838906
4.586544054657666e-05,0.838438,0.838906
6.42962864975431e-05,0.834697,0.838906
5.3323582926792886e-05,0.836334,0.838906
7.295486197542789e-05,0.837269,0.838906
5.31949214081266e-05,0.836568,0.838906
4.867086214805717e-05,0.836801,0.838906
4.843522363634252e-05,0.836801,0.838906
4.416214885996349e-05,0.834931,0.838906
5.398846384304673e-05,0.835632,0.838906
4.803889722966436e-05,0.8361,0.838906
8.537564704667277e-05,0.836801,0.838906
5.4495214526333024e-05,0.838204,0.838906
5.878552572051091e-05,0.837035,0.838906
4.995436365924665e-05,0.837503,0.838906
4.479322415679248e-05,0.834931,0.838906
5.382555189417369e-05,0.838204,0.838906
4.539282909080164e-05,0.837503,0.838906
4.5091247380669435e-05,0.836568,0.838906
5.027184735483198e-05,0.837737,0.838906
5.2983747489416776e-05,0.836334,0.838906
4.954258007789726e-05,0.836801,0.838906
4.433240018673797e-05,0.835165,0.838906
