train_epoch,20
batch_size,16
lr,0.001
lr_step,True
lr_warmup,False
mixup,False
mixup_alpha,0.2
weight_decay,0.0001
momentum,0.99
class_num,5
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
metric,centerloss
feature_dim,1024
name,desnet121_centernon
train_dir,/home/bbb/shicaiwei/data/cassava/train_data
test_dir,/home/bbb/shicaiwei/data/cassava/val_data
log_name,desnet121_centernon.csv
model_name,desnet121_centernon
train_epoch,20
batch_size,8
lr,0.001
lr_step,True
lr_warmup,False
mixup,False
mixup_alpha,0.2
weight_decay,0.0001
momentum,0.99
class_num,5
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
metric,centerloss
feature_dim,1024
name,desnet121_centernon
train_dir,/home/bbb/shicaiwei/data/cassava/train_data
test_dir,/home/bbb/shicaiwei/data/cassava/val_data
log_name,desnet121_centernon.csv
model_name,desnet121_centernon
train_epoch,20
batch_size,8
lr,0.001
lr_step,True
lr_warmup,False
mixup,False
mixup_alpha,0.2
weight_decay,0.0001
momentum,0.99
class_num,5
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
metric,centerloss
feature_dim,1024
name,desnet121_centernon
train_dir,/home/bbb/shicaiwei/data/cassava/train_data
test_dir,/home/bbb/shicaiwei/data/cassava/val_data
log_name,desnet121_centernon.csv
model_name,desnet121_centernon
train_epoch,20
batch_size,16
lr,0.001
lr_step,True
lr_warmup,False
mixup,False
mixup_alpha,0.2
weight_decay,0.0001
momentum,0.99
class_num,5
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
metric,centerloss
feature_dim,1024
name,desnet121_centernon
train_dir,/home/bbb/shicaiwei/data/cassava/train_data
test_dir,/home/bbb/shicaiwei/data/cassava/val_data
log_name,desnet121_centernon.csv
model_name,desnet121_centernon
train_epoch,20
batch_size,16
lr,0.001
lr_step,True
lr_warmup,False
mixup,False
mixup_alpha,0.2
weight_decay,0.0001
momentum,0.99
class_num,5
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
