train_epoch,200
batch_size,64
lr,0.001
lrcos,True
lr_warmup,False
mixup,False
mixup_alpha,0.2
weight_decay,0.0001
momentum,0.99
class_num,5
retrain,False
log_interval,10
save_interval,10
model_root,../output/models
log_root,../output/logs
name,shuffle
train_dir,/home/bbb//shicaiwei/data/cassava/train_data
test_dir,/home/bbb//shicaiwei/data/cassava/val_data
log_name,shuffle.csv
model_name,shuffle
1.3129664672844445,0.701192,0.701192
0.6985350104410257,0.749825,0.749825
0.608079732910021,0.774141,0.774141
0.553891670459242,0.789105,0.789105
0.5177809984159114,0.789105,0.789105
0.4890123957128667,0.797989,0.797989
0.4482489959406319,0.795651,0.797989
0.4222064984044922,0.799158,0.799158
0.3906446645286546,0.803834,0.803834
0.3746123153771927,0.789338,0.803834
0.34873026036726895,0.778583,0.803834
0.32436059148453955,0.789338,0.803834
0.3059896947399004,0.797054,0.803834
0.2877067615514371,0.792378,0.803834
0.27185562314159833,0.769231,0.803834
0.2550274303822375,0.790274,0.803834
0.237047883890458,0.794014,0.803834
0.20863325749315434,0.798223,0.803834
0.19815662681166804,0.77718,0.803834
0.1855991143566459,0.786299,0.803834
0.1788245363911586,0.779518,0.803834
0.1701874573951337,0.791676,0.803834
0.16728682816028595,0.788403,0.803834
0.147816550487013,0.791676,0.803834
0.13651464401341196,0.793313,0.803834
0.13216794259957412,0.776245,0.803834
0.12636270374059677,0.787468,0.803834
0.11868431041044976,0.793313,0.803834
0.11269124119139429,0.781389,0.803834
0.09824129194021225,0.787702,0.803834
0.09309460800975117,0.784896,0.803834
0.09201894778369078,0.776946,0.803834
0.09274164131328241,0.790741,0.803834
0.08013112598390722,0.796586,0.803834
0.0738627877253205,0.773907,0.803834
0.08120263434612929,0.785831,0.803834
0.07445534163001757,0.793079,0.803834
0.07504301773968028,0.785831,0.803834
0.0763356509938169,0.783961,0.803834
0.06985320940391342,0.787468,0.803834
0.05828176038478738,0.793547,0.803834
0.05155225743108721,0.796119,0.803834
0.048646760743055774,0.782324,0.803834
0.04553695490111166,0.794248,0.803834
0.044097399311279185,0.784662,0.803834
0.042694372472478384,0.787234,0.803834
0.040717247373132565,0.788637,0.803834
0.042716455770962274,0.783025,0.803834
0.050077138107214404,0.790741,0.803834
0.04793838911981725,0.784662,0.803834
0.048729936578380526,0.796353,0.803834
0.03805933581359351,0.787935,0.803834
0.03694799030894664,0.783025,0.803834
0.037358676097286284,0.79004,0.803834
0.03579481835685559,0.79004,0.803834
0.033175429968691585,0.792612,0.803834
0.03145669022602821,0.783025,0.803834
0.02665806617309798,0.797755,0.803834
0.0239016282469479,0.785831,0.803834
0.023630305457471024,0.787935,0.803834
0.023798973146659224,0.793079,0.803834
0.022192550016872918,0.800094,0.803834
0.019213927548323104,0.789572,0.803834
0.021148410083642648,0.790274,0.803834
0.021318546871640788,0.788637,0.803834
0.016558275738758826,0.794248,0.803834
0.019787504379429034,0.794716,0.803834
0.013052515351950233,0.79495,0.803834
0.013373336018021428,0.796353,0.803834
0.009207246686095622,0.798457,0.803834
0.009563649990665378,0.800795,0.803834
0.007944837212562561,0.805471,0.805471
0.006813821507923638,0.800327,0.805471
0.006881831074828532,0.80477,0.805471
0.00685371458530426,0.793313,0.805471
0.006992872748801958,0.795651,0.805471
0.00568005976392262,0.797755,0.805471
